Symbol,Price
DENTA,303.4
DEVIT,29.3
DEVX,39.77
DEVYANI,133.89
DGCONTENT,28.41
DHAMPURSUG,118.48
DHANBANK,23.91
DHANUKA,1128.0
DHARAN,0.18
DHARMAJ,240.1
DHRUV,29.32
DHUNINV,962.0
DIACABS,133.69
DIAMINESQ,242.8
DIAMONDYD,1079.2
DICIND,523.7
DIFFNKG,275.45
DIGIDRIVE,22.87
DIGISPICE,20.62
DIGITIDE,113.05
DIGJAMLMTD,50.25
DISHTV,3.33
DIVGIITTS,657.85
DIVISLAB,6185.0
DIXON,11626.0
DJML,94.47
DLF,651.8
DLINKINDIA,406.35
DMART,3963.0
DMCC,256.16
DNAMEDIA,3.67
DODLA,1222.7
DOLATALGO,77.57
DOLLAR,312.05
DOLPHIN,420.9
DOMS,2413.7
DONEAR,96.38
DPABHUSHAN,1248.6
DPSCLTD,9.86
DPWIRES,169.12
DRCSYSTEMS,16.66
DREAMFOLKS,91.21
DREDGECORP,1009.0
DRREDDY,1274.9
DSSL,947.9
DTIL,144.65
DUCON,3.94
DVL,257.8
DWARKESH,36.17
DYCL,303.4
DYNAMATECH,9703.0
DYNPRO,252.82
E2E,2550.6
EASEMYTRIP,6.78
EASTSILK,66.5
EBGNG,329.35
ECLERX,3728.6
ECOSMOBLTY,185.19
EDELWEISS,125.41
EFCIL,266.1
EICHERMOT,7943.0
EIDPARRY,909.45
EIEL,169.52
EIFFL,240.3
EIHAHOTELS,338.8
EIHOTEL,333.8
EIMCOELECO,1680.0
EKC,124.11
ELDEHSG,958.6
ELECON,444.7
ELECTCAST,75.61
ELECTHERM,760.15
ELGIEQUIP,512.25
ELGIRUBCO,43.07
ELIN,153.59
ELLEN,249.7
EMAMILTD,495.35
EMAMIPAP,90.47
EMAMIREAL,74.72
EMBDL,63.01
EMCURE,1458.1
EMIL,104.45
EMKAY,253.85
EMMBI,94.71
EMMVEE,207.26
EMSLIMITED,351.1
EMUDHRA,499.65
ENDURANCE,2557.6
ENERGYDEV,17.51
ENGINERSIN,180.9
ENIL,110.18
ENRIN,2731.3
ENTERO,1156.6
EPACK,255.83
EPACKPEB,191.2
EPIGRAL,1002.3
EPL,220.65
EQUIPPP,18.28
EQUITASBNK,68.88
ERIS,1510.4
ESABINDIA,5593.5
ESAFSFB,28.21
ESCORTS,3635.8
ESSARSHPNG,31.04
ESSENTIA,1.51
ESTER,96.07
ETERNAL,298.0
ETHOSLTD,2524.7
EUREKAFORB,532.15
EUROBOND,184.5
EUROPRATIK,231.99
EUROTEXIND,13.46
EVEREADY,344.4
EVERESTIND,408.3
EXCEL,1.2
EXCELINDUS,972.85
EXCELSOFT,93.05
EXICOM,100.25
EXIDEIND,338.05
EXPLEOSOL,844.45
EXXARO,7.32
FABTECH,164.76
FACT,801.15
FAIRCHEMOR,662.7
FAZE3Q,556.45
FCL,23.93
FCSSOFT,1.7
FDC,388.3
FEDERALBNK,287.1
FEDFINA,146.14
FEL,0.44
FELDVR,3.05
FIBERWEB,45.96
FIEMIND,2399.2
FILATEX,49.01
FILATFASH,0.3
FINCABLES,819.1
FINEORG,4596.6
FINKURVE,87.97
FINOPB,226.13
FINPIPE,191.34
FIRSTCRY,267.8
FISCHER,42.44
FIVESTAR,440.3
FLAIR,322.4
FLEXITUFF,9.59
FLFL,1.24
FLUOROCHEM,3386.2
FMGOETZE,441.65
FMNL,8.26
FOCUS,67.65
FOODSIN,66.75
FORCEMOT,23840.0
FORTIS,928.55
FOSECOIND,4811.0
FSL,273.8
FUSION,189.86
GABRIEL,1012.5
GAEL,138.32
GAIL,163.72
GALAPREC,788.95
GALAXYSURF,1870.0
GALLANTT,576.85
GANDHAR,150.18
GANDHITUBE,819.9
GANECOS,837.55
GANESHBE,82.24
GANESHCP,191.55
GANESHHOU,713.35
GANGAFORGE,3.09
GANGESSECU,131.18
GARFIBRES,719.05
GARUDA,205.79
GATECH,0.49
GATECHDVR,0.49
GATEWAY,60.57
GAYAHWS,2.75
GCSL,329.0
GEECEE,299.1
GEEKAYWIRE,26.83
GEMAROMA,197.67
GENCON,52.52
GENESYS,337.5
GENUSPAPER,13.25
GENUSPOWER,279.3
GEOJITFSL,70.74
GESHIP,1340.3
GFLLIMITED,49.59
GHCL,509.45
GHCLTEXTIL,77.11
GICHSGFIN,163.27
GICRE,392.85
GILLANDERS,92.77
GILLETTE,8673.0
GINNIFILA,44.42
GIPCL,152.33
GKENERGY,116.82
GKSL,114.15
GKWLIMITED,1700.0
GLAND,1816.0
GLAXO,2668.5
GLENMARK,2034.5
GLFL,5.78
GLOBAL,95.43
GLOBALE,11.7
GLOBALVECT,185.11
GLOBE,2.67
GLOBECIVIL,53.39
GLOBUSSPR,987.25
GLOSTERLTD,608.3
GLOTTIS,53.55
GMBREW,1041.45
GMDCLTD,591.45
GMMPFAUDLR,985.3
GMRAIRPORT,96.33
GMRP&UI,103.87
GNA,442.6
GNFC,469.9
GOACARBON,383.85
GOCLCORP,276.75
GOCOLORS,349.5
GODAVARIB,286.55
GODFRYPHLP,2124.7
GODIGIT,320.05
GODREJAGRO,633.0
GODREJCP,1204.3
GODREJIND,1011.2
GODREJPROP,1821.7
GOKEX,781.05
GOKUL,32.04
GOKULAGRO,167.29
GOLDENTOBC,30.51
GOLDIAM,383.75
GOLDTECH,44.23
GOODLUCK,1121.5
GOPAL,303.1
GOYALALUM,7.44
